name,location,cuisines,rate,approx_cost_for_two,online_order,book_table
Masala Mandi," Sarjapur Road, Bangalore","North Indian, Mughlai, Seafood, Desserts",4.25,1200,1,0
Rim Naam - The Oberoi," The Oberoi, MG Road, Bangalore",Thai,4.5,4000,1,0
Sly Granny - The Community House," Indiranagar, Bangalore","Continental, European, American, Italian, Burger, Coffee, Desserts, Modern Indian",4.2,2500,1,0
China Bistro," Indiranagar, Bangalore","Chinese, Asian, Oriental, Sushi, Thai, Japanese, Seafood, Desserts",4.4,1600,1,0
Ssaffron - Shangri-La Hotel," Shangri-La Hotel, Vasanth Nagar , Bangalore","North Indian, Seafood, Asian, Bar Food",4.5,3000,1,0
Salt - Indian Restaurant Bar & Grill," Forum Mall, Koramangala, Bangalore","North Indian, South Indian, Biryani, Mughlai, Fast Food, Desserts, Beverages",4.4,1500,1,0
SodaBottleOpenerWala," Lavelle Road, Bangalore","Parsi, North Indian, Rolls, Street Food, Desserts, Beverages",4.25,1500,1,0
Mamagoto," Indiranagar, Bangalore","Asian, Chinese, Sushi, Thai",4.25,1700,1,0
Al Amanah Cafe," Kammanahalli, Bangalore","Middle Eastern, Fast Food, Rolls, Wraps",4.3,300,1,0
Buff Buffet Buff," BluPetal Hotel, Koramangala, Bangalore","North Indian, Chinese, Thai, South Indian, Continental, Beverages",3.85,1500,1,0
Punjab Grill," Orion Mall, Malleshwaram, Bangalore","North Indian, Mughlai, Kebab, Biryani, Desserts",4.4,2000,1,0
Onesta," Marathahalli, Bangalore","Pizza, Pasta, Fast Food, Desserts, Beverages",3.9,750,1,0
Toscano," UB City, Bangalore","Italian, Continental, Healthy Food, European, Pizza, Salad, Desserts, Beverages",4.25,2400,1,0
Barbecue by Punjab Grill," Mantri Square, Malleshwaram, Bangalore","North Indian, BBQ, Beverages, Desserts",4.3,1200,1,0
Bloomsbury's Global Kitchen & Bakehouse," Whitefield, Bangalore","Cafe, Salad, Italian, American, Bakery",4.35,900,1,0
Alba - JW Marriott Bengaluru," JW Marriott Bengaluru, Lavelle Road, Bangalore","European, Pizza, Desserts",4.5,4000,1,0
Matteo Coffea," Church Street, Bangalore","Cafe, Beverages, Sandwich, Pasta, Burger, Fast Food, American, Desserts",4.5,600,1,0
Hotel Tom's Restaurant," Brigade Road, Bangalore","Mangalorean, Mughlai, Chinese, North Indian",4.3,1000,1,0
The Asian Curry House," Mantri Square, Malleshwaram, Bangalore","Vietnamese, Thai, Burmese, Japanese",4.25,1200,1,0
China Pearl," Koramangala 6th Block, Bangalore",Chinese,4.55,1100,1,0
Chulha Chauki Da Dhaba," Marathahalli, Bangalore","North Indian, Biryani, Chinese, Beverages",4.25,1000,1,0
Connie's Restaurant & Steakhouse," Kammanahalli, Bangalore","Steak, Continental, Italian, Chinese, Fast Food, Desserts, Beverages",4.3,1500,1,0
Big Pitcher," Old Airport Road, Bangalore","American, Continental, North Indian, Mediterranean, Beverages",4.35,1600,1,0
Maravanthe," Indiranagar, Bangalore","Seafood, Mangalorean",4.3,1100,1,0
Jalsa Gold," Kadubeesanahalli, Bangalore","North Indian, Mughlai, Italian, Beverages",4.5,1300,1,0
Myu Bar At Gilly's Redefined," Gilly's Redefined, Koramangala 4th Block, Bangalore","North Indian, Finger Food, Continental, Beverages",4.5,1600,1,0
Manjit Da Dhaba," Frazer Town, Bangalore",North Indian,4.35,300,1,0
Saffron - Radisson Blu," Radisson Blu, Marathahalli, Bangalore","North Indian, Mughlai, Lucknowi, Fast Food, Beverages",4.2,2500,1,0
Peppa Zzing," Brigade Road, Bangalore","Fast Food, Burger, Beverages",4.3,600,1,0
Sree Krishna Kafe," Koramangala 5th Block, Bangalore",South Indian,4.25,200,1,0
Chili's American Grill & Bar," RMZ Ecoworld, Bellandur, Bangalore","American, Tex-Mex, Burger, BBQ, Beverages",4.2,2000,1,0
Republic Of Noodles - Lemon Tree Premier," Lemon Tree Premier, Ulsoor, Bangalore","Malaysian, Singaporean, Thai",4.5,1800,1,0
Shivaji Military Hotel," Jayanagar, Bangalore","South Indian, Biryani",4.4,450,1,0
The 13th Floor," Barton Centre, Bangalore","North Indian, Asian, Thai",4.15,2000,1,0
Hakuna Matata," JP Nagar, Bangalore","North Indian, Asian, Seafood, Chinese",4.300000000000001,1400,1,0
The Druid Garden," Sahakara Nagar, Bangalore","Asian, Continental, Italian, North Indian, Beverages",4.050000000000001,1700,1,0
Secret Of Bangalore," Rajarajeshwari Nagar, Bangalore","North Indian, South Indian, Continental, Asian, Desserts, Beverages",4.4,1300,1,0
Aurum Brew Works," Sarjapur Road, Bangalore","North Indian, American, Continental, Desserts, Beverages, Asian, Pizza, Burger",4.25,1500,1,0
Stories Bar & Kitchen," Rajajinagar, Bangalore","Bar Food, Chinese, Fast Food, North Indian, Italian, Beverages, BBQ",4.35,1500,1,0
XOOX Brewmill," Koramangala 5th Block, Bangalore","North Indian, Continental, Chinese, Mangalorean, Italian, Beverages",4.4,2000,1,0
Skyye," UB City, Bangalore","Continental, Asian, Thai",4.4,2500,1,0
Sultans Of Spice," BluPetal Hotel, Koramangala, Bangalore","North Indian, Mughlai, Chinese, Beverages",4.35,2000,1,0
Three Dots & A Dash," JP Nagar, Bangalore","Bar Food, Italian, North Indian",4.4,1500,1,0
Dhaba - Estd 1986 Delhi," Indiranagar, Bangalore","Mughlai, North Indian, Desserts",4.2,2000,1,0
BYLI - Bet You Love It!," Kalyan Nagar, Bangalore","Continental, Italian, Fast Food, Beverages",4.0,800,1,0
Broadway - The Gourmet Theatre," HSR, Bangalore","Japanese, Sushi, Continental, Asian, North Indian",4.35,1800,1,0
Ranch," Mysore Road, Bangalore","North Indian, Italian, Continental",4.4,1500,1,0
Foxtrot," Marathahalli, Bangalore","Continental, Chinese, North Indian, Mughlai, Biryani",3.65,1600,1,0
Lazy Suzy," Indiranagar, Bangalore","Cafe, Continental, Italian, Pizza, Desserts",4.4,1000,1,0
