name,location,cuisines,rate,approx_cost_for_two,online_order,book_table
Chettinad Chettiars," Koramangala 8th Block, Bangalore","Chettinad, South Indian",3.55,400,1,0
The Food Farmm," BTM, Bangalore","North Indian, Chinese, Mughlai, Desserts",3.8,600,1,0
Sri Raghavendra Upahar," Rammurthy Nagar, Bangalore","South Indian, Chinese",3.9,150,1,0
Dreams Unlimited," Jakkur, Bangalore",Sandwich,3.55,150,1,0
Taj Hotel," Bannerghatta Road, Bangalore","North Indian, Chinese",3.55,200,1,0
Taj Hotel," Bannerghatta Road, Bangalore","North Indian, Chinese",3.55,200,1,0
Chaats Village," Kanakapura Road, Bangalore","Chinese, Fast Food, Street Food, Beverages",3.85,300,1,0
Cafe Vishala," Kanakapura Road, Bangalore","Cafe, Desserts, Fast Food, Beverages",3.8,400,1,0
The Farmer's Son," Indiranagar, Bangalore",Juices,3.85,200,1,0
Bone And Meat," Whitefield, Bangalore","North Indian, Chinese, Biryani, Kebab",3.85,450,1,0
Sai Samosa & Vada Pav Centre," Bannerghatta Road, Bangalore",Street Food,3.85,150,1,0
Cane Fresh," Frazer Town, Bangalore","Juices, Beverages",3.75,100,1,0
Bobby's Cafe," BTM, Bangalore","Lebanese, Fast Food, Tea",3.85,250,1,0
Aarogya Bhavan," Bommanahalli, Bangalore","South Indian, North Indian, Chinese, Fast Food, Beverages",3.85,400,1,0
Shiv Shankar Hotel," Electronic City, Bangalore","North Indian, Chinese",3.8,250,1,0
Surakshith Chinese," Sadashiv Nagar, Bangalore","Chinese, Fast Food",3.7,200,1,0
ABC Meal & Biryani," Electronic City, Bangalore","Biryani, South Indian, Chinese",3.8,450,1,0
Pure Coffee," Jayanagar, Bangalore","Beverages, Coffee",3.8,100,1,0
Clickety Clack," Vijay Nagar, Bangalore","Fast Food, BBQ",3.8,500,1,0
Hotel Chirag," Banaswadi, Bangalore",South Indian,3.8,300,1,0
Savipriya Military Hotel," Rajajinagar, Bangalore",South Indian,3.8,300,1,0
New Grand Prashanth Family Restaurant," Rajajinagar, Bangalore","South Indian, Chinese, Ice Cream",3.85,350,1,0
Hotel Paradise," Jayanagar, Bangalore","South Indian, Kebab",3.8,200,1,0
HB Lajawaab," Sarjapur Road, Bangalore","North Indian, Chinese",3.8,500,1,0
Naati Mane Ruchi," Marathahalli, Bangalore","Chinese, Kebab, Biryani",3.85,500,1,0
Nilavara Restaurant," Kadubeesanahalli, Bangalore",Kerala,3.8,300,1,0
Uncle's Cuisine," HSR, Bangalore","North Indian, South Indian, Chinese",3.8,250,1,0
Berlin Cafe," Sarjapur Road, Bangalore","Fast Food, Beverages",3.8,200,1,0
Kitchen Paradise," Inorbit Mall, Whitefield, Bangalore","Chettinad, Biryani, South Indian",3.8,400,1,0
Karavali Fish Magic," JP Nagar, Bangalore","South Indian, Chinese, North Indian, Seafood",3.8,300,1,0
Nimma Mane," Domlur, Bangalore",South Indian,3.8,100,1,0
TeaDarzi," Electronic City, Bangalore","Fast Food, Italian, Chinese, Continental, Beverages, Bakery",3.8,300,1,0
Jhatpat Street Food," Bellandur, Bangalore",Street Food,3.8,150,1,0
Bangarpet Chats," Brookefield, Bangalore",Street Food,3.8,100,1,0
Lassi & Juice," Shivajinagar, Bangalore","Desserts, Beverages",3.8,100,1,0
New Udupi Grand," RT Nagar, Bangalore","South Indian, North Indian, Chinese",3.8,400,1,0
Digvijay Fruit Juice Center & Ice Cream Parlor," Yelahanka, Bangalore","Juices, Ice Cream",3.8,100,1,0
Moti Mahal Delux Tandoori Trail," Hebbal, Bangalore","North Indian, Mughlai, Chinese",3.5,900,1,0
The Coffee Bean & Tea Leaf," 1 MG Road Mall, MG Road, Bangalore","Cafe, Fast Food, Desserts, Beverages",3.75,700,1,0
Tetto," Koramangala 1st Block, Bangalore",Continental,3.7,1300,1,0
Swiss Cream," Old Madras Road, Bangalore","Ice Cream, Beverages, Desserts",3.9,250,1,0
Swiss Cream," Old Madras Road, Bangalore","Ice Cream, Beverages, Desserts",3.9,250,1,0
Northern Gate- Gateway Hotel," The Gateway Hotel, Residency Road, Bangalore",North Indian,3.8,1900,1,0
Brindavan Grand," Varthur Main Road, Whitefield, Bangalore","North Indian, South Indian, Chinese",3.55,800,1,0
Mango Greens," Hennur, Bangalore","North Indian, Asian, Continental, Fast Food",3.8,1000,1,0
Money Heist Bar & Kitchen," Whitefield, Bangalore","North Indian, Chinese, Fast Food, Street Food",3.8,1000,1,0
Indian Food Court," Electronic City, Bangalore","North Indian, Chinese, Fast Food",3.65,400,1,0
Desi Flavours," Koramangala 1st Block, Bangalore","North Indian, Mughlai",3.85,400,1,0
Lassi Adda," Electronic City, Bangalore","Beverages, Sandwich, Fast Food",3.9,200,1,0
The Bong Tikka Connection," Whitefield, Bangalore","Bengali, North Indian",4.0,400,1,0
Mukati Kitchen," Thippasandra, Bangalore","North Indian, Continental, Chinese, Italian",3.75,500,1,0
Swad Restaurant," BTM, Bangalore","Chinese, North Indian, Beverages",3.85,500,1,0
Dine AT Dawn," BTM, Bangalore","North Indian, Chinese, Mughlai, Mangalorean",3.55,500,1,0
Maa Bargabhima Restaurant," Whitefield, Bangalore",Bengali,3.95,400,1,0
North Masala," Bommanahalli, Bangalore","North Indian, Chinese",3.7,200,1,0
Chai World," Sarjapur Road, Bangalore","Beverages, Fast Food",3.8,200,1,0
Sri Udupi Grand," Brigade Road, Bangalore","South Indian, North Indian, Chinese, Beverages",3.75,400,1,0
SaladTimes," Yeshwantpur, Bangalore","Salad, Fast Food, Beverages",3.85,300,1,0
Oye Lassi," Indiranagar, Bangalore","Beverages, Desserts, Ice Cream, Fast Food, Momos",3.5,300,1,0
Santosh Chats Center," Yelahanka, Bangalore","North Indian, Chinese",3.8,200,1,0
RR Kabab Corner," Marathahalli, Bangalore","North Indian, Chinese, Bengali",3.8,350,1,0
Nutberry," HSR, Bangalore","Desserts, Beverages, Fast Food, Ice Cream, Juices",3.9,200,1,0
1 Fahrenheit," Nagawara, Bangalore","Desserts, Ice Cream, Beverages",3.85,300,1,0
Tasty Biryani," Marathahalli, Bangalore",Street Food,4.0,250,1,0
New Mumbai Pavbhaji," Kaggadasapura, Bangalore",Street Food,3.75,150,1,0
7 Days Juice And Spice," Jayanagar, Bangalore","Fast Food, Beverages, Juices",3.35,150,1,0
Tiny Treats," Whitefield, Bangalore","Fast Food, North Indian, Beverages",3.75,350,1,0
Arabian Corner," KR Puram, Bangalore","Arabian, Fast Food",3.8,250,1,0
The Street Kitchen," New BEL Road, Bangalore","Fast Food, Chinese, Beverages",3.85,300,1,0
Big Paratha House," HSR, Bangalore",North Indian,3.4,300,1,0
Abi's Cafe & Restaurant," Yelahanka, Bangalore","North Indian, Chinese",3.65,350,1,0
Chicken Express," Bommanahalli, Bangalore",Fast Food,4.1,200,1,0
The Juice Box," Rammurthy Nagar, Bangalore","Juices, Beverages, Desserts, Fast Food, Chinese",3.65,200,1,0
Babu Tiffin Center," Kumaraswamy Layout, Bangalore",North Indian,3.85,300,1,0
Happieats," KR Puram, Bangalore","North Indian, Chinese, Biryani",3.7,400,1,0
Mughal Indian," BTM, Bangalore","Mughlai, Biryani, North Indian",3.8,500,1,0
Mellow Foodies Zone," Whitefield, Bangalore","Chinese, Fast Food, North Indian, South Indian",3.7,500,1,0
First Bite," Sarjapur Road, Bangalore","North Indian, Chinese",3.8,500,1,0
House Of Tasty Food," Koramangala 1st Block, Bangalore","North Indian, Beverages",3.8,400,1,0
Aahar Family Restaurant," Hebbal, Bangalore","Andhra, Chinese",3.85,400,1,0
Wow Chaats," Kalyan Nagar, Bangalore","Street Food, Sandwich, Beverages",3.55,300,1,0
Shake Wake," Marathahalli, Bangalore","Beverages, Rolls, Sandwich",3.8,200,1,0
Shabaab Rolls," Yelahanka, Bangalore","Rolls, Burger, Fast Food",3.4,250,1,0
GVR Biryani Bistro," Whitefield, Bangalore","Chinese, North Indian",3.6,300,1,0
Mr. Tadka," CV Raman Nagar, Bangalore",North Indian,3.85,300,1,0
Pick Natura," Marathahalli, Bangalore","Beverages, Juices",3.8,200,1,0
Whatsup Lassi Park," BTM, Bangalore","Beverages, Fast Food, Desserts",3.9,200,1,0
San-Diego Cream N Crunch," Whitefield, Bangalore","Desserts, Ice Cream",3.7,250,1,0
The Samosa Estate," Marathahalli, Bangalore","Street Food, Fast Food, Lebanese",3.8,250,1,0
Food Decker," Koramangala 5th Block, Bangalore","Fast Food, Desserts, Beverages",3.45,400,1,0
Malli Mane Food Court," BTM, Bangalore",South Indian,3.8,250,1,0
Frozen Juices N Cafe House," Sarjapur Road, Bangalore","Fast Food, Beverages",3.55,200,1,0
Coastal Aroma," Whitefield, Bangalore","South Indian, Chinese, Mangalorean",3.5,350,1,0
Food Instinct," Indiranagar, Bangalore","Continental, Healthy Food, North Indian, Biryani",3.8,300,1,0
The Farmer and The Chef," Sarjapur Road, Bangalore",North Indian,3.75,450,1,0
Belgian Swirls Fusion," Sarjapur Road, Bangalore","Desserts, Fast Food",3.85,300,1,0
Kaapi Corner," Banashankari, Bangalore",South Indian,3.8,100,1,0
Sinclair's Barbeque," Banaswadi, Bangalore","Burger, Sandwich, Beverages, BBQ",3.8,500,1,0
Bellandur Kerala Mess," Bellandur, Bangalore","South Indian, Kerala, Biryani",3.6,200,1,0
Crunchy Kitchen," Yelahanka, Bangalore",Chinese,3.8,400,1,0
Hunger Buds," BTM, Bangalore",North Indian,3.8,250,1,0
Hunger Buds," BTM, Bangalore",North Indian,3.8,250,1,0
Raghavendra Bhavan," Banaswadi, Bangalore","South Indian, North Indian, Chinese",3.8,300,1,0
Salkara Malabar Kitchen," BTM, Bangalore","North Indian, Chinese",3.8,300,1,0
New Indian Biryani Restaurant," Indiranagar, Bangalore","North Indian, Chinese, Biryani",3.65,300,1,0
Sidhika Food Centre," KR Puram, Bangalore","North Indian, Chinese",3.65,300,1,0
Blend Your Shake," Sarjapur Road, Bangalore","Beverages, Fast Food, Ice Cream",3.65,250,1,0
Shiva's Naram Garam," Banaswadi, Bangalore","Street Food, Chinese, North Indian",3.8,250,1,0
Soul Konnet," Malleshwaram, Bangalore","Street Food, Fast Food",3.8,250,1,0
Ruchika Biriyani," Whitefield, Bangalore",South Indian,3.8,300,1,0
Spicy Paradise," Kadubeesanahalli, Bangalore","South Indian, North Indian, Chinese",3.8,200,1,0
Anamika Bakery," Sarjapur Road, Bangalore",Bakery,3.8,200,1,0
Chef Sisters Kitchen," Whitefield, Bangalore",North Indian,3.8,200,1,0
New Andhra House," Electronic City, Bangalore","Andhra, Biryani, North Indian",3.8,450,1,0
Tree Top," Wilson Garden, Bangalore","Continental, Chinese, North Indian, South Indian",3.85,1000,1,0
Saara's Cafe - SS Lumina Hotel," Koramangala 7th Block, Bangalore","North Indian, South Indian, Chinese, Arabian",3.85,800,1,0
Sizzling Szechuan," Rammurthy Nagar, Bangalore",Chinese,3.8,600,1,0
Coastal King Restaurant," Coastal King, Bangalore, Bangalore","Seafood, North Indian, Chinese",3.85,900,1,0
Fish Factory-Citrus Hotel," Citrus Hotels, Cunningham Road, Bangalore",Seafood,3.8,2600,1,0
Dumont," Church Street, Bangalore","Ice Cream, Beverages, Desserts",3.85,300,1,0
Garden Bar & Restaurant," Yelahanka, Bangalore","North Indian, Chinese",3.8,800,1,0
Punjabi Chaap Corner," Indiranagar, Bangalore","North Indian, Chinese, Fast Food",4.0,650,1,0
The Oriental Spice - Ashraya Hotel," Ashraya Hotel, Infantry Road, Bangalore",Oriental,3.75,1300,1,0
Cafe Treat - The Pride Hotel," The Pride Hotel, Bangalore","North Indian, South Indian, Mughlai, Continental, Chinese, Desserts, Beverages",3.8,900,1,0
Bademiyan Kebabs," Orion Mall, Malleshwaram, Bangalore","Kebab, Hyderabadi, Biryani, Charcoal Chicken",3.65,600,1,0
Pop Inn Restaurant," Whitefield, Bangalore","North Indian, Odia, Bengali, Chinese, South Indian",3.7,250,1,0
Punjab Kadhai," Kaggadasapura, Bangalore","North Indian, Chinese",3.8,350,1,0
Madhuban Restaurant," Marathahalli, Bangalore","North Indian, Chinese, Seafood",3.75,450,1,0
Camille's Ice Cream," Domlur, Bangalore","Desserts, Beverages, Ice Cream",3.9,100,1,0
Kakal Kai Ruchi," JP Nagar, Bangalore","South Indian, North Indian, Chinese, Fast Food, Street Food, Beverages",3.6,500,1,0
Grill & The Goat," Indiranagar, Bangalore","North Indian, Mughlai, Chinese, Beverages",3.8,600,1,0
Slounge - Lemon Tree Hotel," Lemon Tree Hotel, Whitefield, Bangalore",Finger Food,3.8,1600,1,0
Mangoa," BTM, Bangalore","Goan, Mangalorean, South Indian, Seafood, Portuguese, Konkan",3.85,800,1,0
Spice House," Banashankari, Bangalore","Andhra, South Indian, Chinese",3.65,600,1,0
Sri Krishna Aramane," Kumaraswamy Layout, Bangalore","South Indian, North Indian, Street Food, Chinese, Ice Cream, Desserts, Juices, Beverages",3.9,350,1,0
Alankrutha," BTM, Bangalore","North Indian, Chinese, Biryani",3.85,550,1,0
Hongkong Garden," Kaggadasapura, Bangalore","Chinese, Thai, Seafood, Momos",3.75,500,1,0
Twilight Global Restaurant," Kalyan Nagar, Bangalore","Beverages, Kebab, Chinese, North Indian, Mughlai, Biryani, Desserts",3.6,800,1,0
Brown Burger Co," Rajarajeshwari Nagar, Bangalore","Burger, Fast Food, Beverages",4.05,500,1,0
Aishwarya Parkland," Bannerghatta Road, Bangalore","Chinese, North Indian",3.55,700,1,0
Fuel Resto Bar," The Pride Hotel, Bangalore","Finger Food, Mediterranean, North Indian, Beverages",3.8,2000,1,0
KA 51 Restocafe," Bommasandra, Bangalore","Chinese, North Indian, Fast Food",3.65,600,1,0
Shimla Mirch," BTM, Bangalore","Sandwich, Fast Food, Italian, Biryani, North Indian, South Indian, Pizza",3.75,350,1,0
Swadist Pakhal Restaurant," Sarjapur Road, Bangalore","North Indian, Chinese, Bengali, Biryani",3.6,600,1,0
The Lakefront Kitchen," Electronic City, Bangalore","North Indian, Chinese, Mughlai",3.8,600,1,0
Golden Tree Restaurant," BTM, Bangalore","Chinese, Mughlai, Biryani, South Indian, Fast Food, Beverages, Ice Cream",3.85,600,1,0
Lol Pub," Kadubeesanahalli, Bangalore","North Indian, Beverages",3.8,800,1,0
Ashwa Fine Dine," Vijay Nagar, Bangalore","North Indian, Chinese, Andhra, Finger Food",3.8,400,1,0
Manhattan," Hotel Southern Star, Lavelle Road, Bangalore",Finger Food,3.8,1700,1,0
Manhattan," Hotel Southern Star, Lavelle Road, Bangalore",Finger Food,3.8,1700,1,0
Paaro," Bannerghatta Road, Bangalore","North Indian, Street Food, Chinese, South Indian, Beverages, Continental",3.8,400,1,0
Envy," Hotel La Classic, Bangalore",Finger Food,3.8,1100,1,0
Samavar," Casa de Bengaluru, Koramangala, Bangalore","North Indian, South Indian, Chinese, Continental, Italian",3.8,1000,1,0
Happy Belly Restaurant," Yelahanka, Bangalore","Chinese, Thai",3.8,700,1,0
Sri Thirumala Deluxe Family Restaurant," Yelahanka, Bangalore","Andhra, Chinese, North Indian",3.8,900,1,0
Kairali Restaurant," Bellandur, Bangalore","Kerala, South Indian, Seafood, Biryani",3.85,200,1,0
Thottathil Food House," BTM, Bangalore","Kerala, South Indian, Biryani",3.75,300,1,0
Kadala Teera," Sarjapur Road, Bangalore","Seafood, Mangalorean",3.8,500,1,0
Navya's," Bommanahalli, Bangalore","Andhra, Biryani, North Indian, Chinese, Hyderabadi, Mughlai, Seafood",3.5,700,1,0
Gongura Biriyani House," Nagawara, Bangalore","Andhra, Biryani, Seafood, Chinese",3.75,700,1,0
Venessa," BTM, Bangalore","North Indian, Fast Food, Asian, Mughlai, Desserts",3.8,1200,1,0
The Spice Town," Rajarajeshwari Nagar, Bangalore","BBQ, North Indian, Beverages",3.8,900,1,0
Achayyan's," Indiranagar, Bangalore","Kerala, South Indian",3.7,350,1,0
Altaf Chillies Restaurant," Frazer Town, Bangalore","North Indian, Chinese, Mughlai, Rolls",3.9,300,1,0
Sri Maruthi Miltry Hotel," Rajajinagar, Bangalore","South Indian, Chinese",3.75,400,1,0
Crepito," Rajajinagar, Bangalore","Pizza, Burger, Sandwich, Fast Food, Chinese, Street Food, Beverages, Desserts",3.8,600,1,0
Ice Cafe & Lassi Shop," BTM, Bangalore","Beverages, Juices",3.6,200,1,0
Narthaki Family Restaurant," Majestic, Bangalore","North Indian, Mughlai",3.8,500,1,0
Maharaja Biryani House," Koramangala 8th Block, Bangalore","Biryani, Andhra, North Indian, Beverages",3.75,700,1,0
Adiga's," HSR, Bangalore","South Indian, North Indian, Chinese, Street Food, Desserts, Ice Cream, Beverages",3.85,500,1,0
Shaap," Indiranagar, Bangalore","Kerala, Seafood",3.95,500,1,0
Hari Super Sandwich," BTM, Bangalore","Sandwich, Fast Food",3.8,200,1,0
The Fast Food," Malleshwaram, Bangalore",South Indian,4.0,150,1,0
The Fast Food," Malleshwaram, Bangalore",South Indian,4.0,150,1,0
Hotel Prakruthi," Vijay Nagar, Bangalore",South Indian,3.9,350,1,0
Bogineni Black," Whitefield, Bangalore","Cafe, Fast Food",3.9,500,1,0
Udupi Kitchen," Vijay Nagar, Bangalore","South Indian, Chinese, Street Food, Desserts, Beverages",3.85,300,1,0
From Hill To Station," Hennur, Bangalore","Cafe, Coffee, Fast Food, Desserts",3.6,500,1,0
Udupi Upahar," JP Nagar, Bangalore","North Indian, South Indian, Chinese, Beverages",3.9,300,1,0
Taaza Mithai," JP Nagar, Bangalore","Mithai, Street Food",3.95,100,1,0
Momoz," Kammanahalli, Bangalore","Chinese, Momos, Seafood",3.75,500,1,0
Tripti Hotel & Restaurant," New BEL Road, Bangalore","North Indian, Bengali",3.9,300,1,0
Majaa Thindi," New BEL Road, Bangalore",South Indian,3.85,100,1,0
Chicano," Frazer Town, Bangalore","Fast Food, Pizza",3.85,450,1,0
S.M.S.Evening Fast Food," Varthur Main Road, Whitefield, Bangalore","Hyderabadi, Chinese, North Indian",3.95,300,1,0
Prashanth Naati Corner," Yelahanka, Bangalore","South Indian, Biryani",3.85,300,1,0
Food Manthra," Ulsoor, Bangalore","North Indian, Chinese, Biryani, Rolls",3.7,300,1,0
Maach Misti And More," BTM, Bangalore","North Indian, Bengali, Seafood, Desserts",3.9,500,1,0
Urban Chulha," Kammanahalli, Bangalore","North Indian, Street Food",4.0,300,1,0
Winni- Cakes & More," RT Nagar, Bangalore","Bakery, Desserts, Fast Food, Beverages",3.8,400,1,0
Kabab King Restaurant," Banashankari, Bangalore","Chinese, North Indian",3.6,300,1,0
Delhi Mess & Restaurant," Hesaraghatta, Bangalore","North Indian, Chinese, Mughlai",3.65,300,1,0
The Kebab Terminal," Jakkur, Bangalore","North Indian, Mughlai, Kebab, Fast Food",3.8,350,1,0
Divyasree Andhra Style Hotel," CV Raman Nagar, Bangalore",Andhra,3.85,250,1,0
Hotel Manu," Whitefield, Bangalore","Andhra, North Indian, Chinese, Biryani",3.9,550,1,0
Hyderabadi Bawarchi," Hebbal, Bangalore","Biryani, North Indian, Chinese, Mughlai, Seafood",3.75,800,1,0
Hyderabadi Biryani Utsav," Old Madras Road, Bangalore","Biryani, Hyderabadi, North Indian, Chinese",3.9,600,1,0
Kasol Cafe," Indiranagar, Bangalore","Bengali, Continental",3.6,200,1,0
Hoysala Darshini," Kengeri, Bangalore","South Indian, North Indian, Chinese",3.95,400,1,0
Bengali Delicious," Rajarajeshwari Nagar, Bangalore","Bengali, North Indian, Chinese, Kebab, Biryani, Beverages",3.85,500,1,0
Cafe Rossini," New BEL Road, Bangalore","Continental, Italian, Chinese",3.5,700,1,0
Great Room - Holiday Inn Express & Suites," KR Puram, Bangalore","North Indian, Chinese, Continental, Desserts, Beverages",3.7,1200,1,0
Garden Fresh," BTM, Bangalore","Juices, Healthy Food, Salad, Beverages",3.95,200,1,0
Biryani Pot," Bellandur, Bangalore","Biryani, North Indian, Chinese, Hyderabadi, Andhra, Wraps",3.7,200,1,0
Galaxy Restaurant," KR Puram, Bangalore","North Indian, Chinese, Arabian, Kerala, Biryani",3.65,650,1,0
Bathinda Station," HSR, Bangalore","North Indian, Chinese",3.85,700,1,0
Ayodhya Grand," Nagarbhavi, Bangalore","North Indian, South Indian, Chinese, Maharashtrian, Street Food, Desserts, Ice Cream, Beverages",3.95,550,1,0
Alter Ego D'Deli," Nagawara, Bangalore","Cafe, Salad, Italian, American, Sandwich, Burger, Beverages, Healthy Food",3.8,900,1,0
Suzy Q By 1522," Cunningham Road, Bangalore","Asian, Seafood, Street Food, Pizza, North Indian, Chinese, Desserts",3.7,1000,1,0
GFC Biryani," Rajarajeshwari Nagar, Bangalore","Biryani, Kebab, Tamil",3.9,300,1,0
Tycoons - Fine Dine & Retro Bar," Indiranagar, Bangalore","Continental, North Indian, Chinese, Asian, Mughlai, Desserts, Beverages",3.7,1300,1,0
Happy Brew Bar & Kitchen," Koramangala 5th Block, Bangalore","Finger Food, North Indian, Asian, European",3.7,1500,1,0
The Rasaganga," Bellandur, Bangalore","South Indian, North Indian, Street Food, Chinese, Beverages",3.7,500,1,0
The Cuboidal," BTM, Bangalore","Fast Food, Beverages",3.55,500,1,0
Cholay," Koramangala 7th Block, Bangalore","North Indian, Gujarati, Maharashtrian",3.85,350,1,0
Sri Balaji Tiffin Centre," Banashankari, Bangalore","North Indian, Chinese",3.65,350,1,0
The Cafe Bar," Jayanagar, Bangalore","Fast Food, Sandwich, Beverages",3.95,200,1,0
Carols Pastries & Bakers," Rammurthy Nagar, Bangalore","Bakery, Desserts",3.9,250,1,0
FreshBake," Electronic City, Bangalore",Bakery,3.8,250,1,0
Arabian Mataam," Frazer Town, Bangalore","Arabian, North Indian, Mughlai",3.8,700,1,0
Pragnya Sagar," HSR, Bangalore","South Indian, Beverages, Chinese, North Indian",3.6,300,1,0
The Langford Cafe," Langford Town, Bangalore","Cafe, Beverages, Fast Food, Desserts, Wraps",3.7,400,1,0
Bangalore Tiffin Fusion (BTF)," Whitefield, Bangalore","North Indian, Fast Food",3.8,250,1,0
Phantom Cafe," Koramangala 4th Block, Bangalore","Cafe, Italian, Fast Food, Beverages",3.7,400,1,0
Le Bistro," UB City, Bangalore","European, Lebanese",3.7,1200,1,0
Ambur Star Briyani ® Since 1890," JP Nagar, Bangalore","Biryani, South Indian, Chinese, Chettinad, North Indian",3.95,600,1,0
Shawarma Time," RT Nagar, Bangalore","Lebanese, Rolls, Fast Food",3.8,200,1,0
Hook Hap," Indiranagar, Bangalore","Continental, Chinese, Fast Food, Beverages",3.7,600,1,0
The Döner Company," Koramangala 5th Block, Bangalore","Lebanese, Wraps, Fast Food, Salad, Healthy Food, Rolls, Beverages",3.75,500,1,0
Snack Bar," Vijay Nagar, Bangalore","Fast Food, Sandwich, Ice Cream, Beverages",3.75,300,1,0
New SBFC Food Funda," Frazer Town, Bangalore",Fast Food,3.8,300,1,0
Wow Pizza," Jalahalli, Bangalore","Pizza, Fast Food",3.95,400,1,0
The Deagh," Frazer Town, Bangalore","Mughlai, North Indian, Chinese, Rolls",3.8,400,1,0
The Deagh," Frazer Town, Bangalore","Mughlai, North Indian, Chinese, Rolls",3.8,400,1,0
Flavours Of Ari," HSR, Bangalore","Chinese, Rolls, Arabian, North Indian, Beverages, Pasta, Sandwich, Lebanese",3.45,400,1,0
Kailash Parbat," Sadashiv Nagar, Bangalore","Chinese, North Indian, Street Food, Fast Food, Desserts, Beverages",3.95,1100,1,0
The Southern Soul," Koramangala 7th Block, Bangalore","South Indian, Mangalorean, Beverages",3.8,650,1,0
Hotel Baaduta," Jalahalli, Bangalore","Biryani, South Indian",3.8,300,1,0
Maggie Break," Rajarajeshwari Nagar, Bangalore",Fast Food,3.8,150,1,0
Robot Restaurant," Indiranagar, Bangalore","Chinese, Thai, North Indian, Seafood, Beverages, Desserts",3.7,1400,1,0
GOPIZZA," Phoenix Marketcity Bangalore, Whitefield, Bangalore","Pizza, Fast Food",3.6,300,1,0
LV Venkateshwara Jolada Rotti Oota," Malleshwaram, Bangalore",South Indian,3.95,300,1,0
Minatchi Mess," Sarjapur Road, Bangalore","Biryani, South Indian, Chinese, Seafood, Desserts",3.6,300,1,0
Pratyush's Food Plaza," JP Nagar, Bangalore","Biryani, Odia, North Indian, Chinese, Fast Food",3.9,300,1,0
Karim's Delhi 6," St. Marks Road, Bangalore","Mughlai, North Indian",3.65,800,1,0
Bong Connection," Yeshwantpur, Bangalore","Chinese, North Indian, Bengali",3.6,550,1,0
Uttara Karnataka Jolada Rotti Mattu Chapati Angadi," Wilson Garden, Bangalore","South Indian, Street Food",3.8,200,1,0
The Naati Bar & Kitchen," Koramangala 6th Block, Bangalore","Biryani, South Indian, Seafood",3.6,650,1,0
Self Love Cafeteria," Marathahalli, Bangalore","North Indian, Chinese, Biryani, Momos",3.7,500,1,0
Shanti Tiffin House," Rajajinagar, Bangalore",Rajasthani,3.7,250,1,0
Bowl'd," Marathahalli, Bangalore","North Indian, Chinese",3.7,300,1,0
Donne Biryani Hatti Mane," Nagarbhavi, Bangalore","Biryani, South Indian",3.9,300,1,0
Red Panda-Chinese Food & Momos," New BEL Road, Bangalore",Chinese,3.8,450,1,0
Bachelor Burgers," Electronic City, Bangalore","Burger, Fast Food",3.55,500,1,0
Punjabi Dhaba," Majestic, Bangalore","North Indian, Chinese, Mughlai",3.8,500,1,0
Trois," Koramangala 5th Block, Bangalore","North Indian, Mughlai, Chettinad, Asian, Beverages",3.7,1200,1,0
Malleswaram Thatte Idly Cafe & By 2 Coffee Point," Malleshwaram, Bangalore","South Indian, Beverages",4.0,300,1,0
India Chai Lounge," Vasanth Nagar, Bangalore","Rolls, Fast Food, Beverages",3.8,300,1,0
Basaveshwar Khanavali," Majestic, Bangalore",Mangalorean,3.85,600,1,0
Quaranteens Cafe," Kumaraswamy Layout, Bangalore","Fast Food, Ice Cream, Beverages",3.85,200,1,0
Hotel Vismaya," Vijay Nagar, Bangalore","South Indian, Andhra, Biryani, Mughlai, North Indian",3.8,400,1,0
Tandoori Flames," Rammurthy Nagar, Bangalore","Chinese, Lebanese, North Indian",3.75,400,1,0
Nam Egg Adda," Rajajinagar, Bangalore",Street Food,3.65,150,1,0
7th Heaven Cakes And Desserts," JP Nagar, Bangalore","Bakery, Desserts",4.0,400,1,0
Just Punjabi," Sarjapur Road, Bangalore",North Indian,3.7,450,1,0
Kunafeci," Koramangala 7th Block, Bangalore","Desserts, Arabian",3.8,500,1,0
L J Iyengar Bakery," Jalahalli, Bangalore","Bakery, Desserts, Fast Food",3.95,400,1,0
Maruthi Davangere Benne Dosa," Banashankari, Bangalore",South Indian,3.95,150,1,0
Melt In Cafe," Mysore Road, Bangalore","Cafe, Italian, Continental",3.7,700,1,0
Shree Madhvas Upahara," JP Nagar, Bangalore",South Indian,3.65,100,1,0
Redbury Family Restaurant," Bannerghatta Road, Bangalore","Kerala, North Indian, Chinese, Desserts, Beverages, Mughlai",3.75,900,1,0
Raju Gari Biryani," Bannerghatta Road, Bangalore","Biryani, Andhra, Chinese, North Indian, Seafood",3.7,400,1,0
Uutopia Cafe," Whitefield, Bangalore","Cafe, Fast Food, Desserts",3.7,750,1,0
Podhi Kitchen," Kammanahalli, Bangalore","South Indian, Biryani",3.95,200,1,0
Curry Leaves," Jayanagar, Bangalore","Chinese, North Indian",3.7,400,1,0
Biriyani Mane," Jayanagar, Bangalore","Biryani, Chinese, North Indian, Mughlai",3.85,600,1,0
Blytons," Sahakara Nagar, Bangalore","Continental, Asian, Mughlai, Fast Food",3.7,1500,1,0
Hassan Keralapura Military Hotel," Banashankari, Bangalore",South Indian,3.7,400,1,0
Nandasree," KR Puram, Bangalore","Andhra, Chinese, North Indian",3.9,800,1,0
Fit Pizza," Jalahalli, Bangalore","Pizza, Fast Food, Rolls",3.75,300,1,0
